image_number,number_of_sheets
200,32.44
201,20.5
202,21.21
203,32.46
204,34.84
205,20.31
206,27.36
207,24.62
208,20.0
209,27.98
210,24.08
211,24.44
212,21.79
213,27.04
214,29.24
215,22.09
216,25.22
217,25.29
218,29.31
219,23.0
220,29.4
221,22.46
222,26.07
223,24.28
224,26.12
225,26.29
226,30.41
227,33.52
228,27.58
229,23.05
230,20.0
231,25.72
232,24.34
233,21.03
234,20.14
235,25.86
236,22.35
237,25.68
238,26.57
239,20.87
240,22.58
241,25.38
242,25.96
243,20.75
244,25.14
245,25.73
246,21.89
247,28.29
248,29.73
249,32.77
